iteration,reward_mean,length_mean,games,loss
500,-0.88,2.12,8,0.026908494532108307
1000,-1.0,2.0,8,0.01208537258207798
1500,-1.0,2.0,8,0.00670325243845582
2000,-0.88,2.12,8,0.00476493127644062
2500,-0.75,2.25,8,0.005012103822082281
3000,0.0,2.55,11,0.0079178586602211
3500,-0.12,2.12,8,0.0071080997586250305
4000,0.0,2.0,8,0.0025349087081849575
4500,0.12,2.12,8,0.002523882780224085
5000,-0.12,2.0,8,0.0031293537467718124
5500,0.12,2.12,8,0.006602853536605835
6000,0.0,2.0,8,0.007956277579069138
6500,0.25,2.25,8,0.0028258501552045345
7000,0.38,2.38,8,0.002808146644383669
7500,0.0,2.0,8,0.003154382575303316
8000,-0.12,2.0,8,0.005050251726061106
8500,0.12,2.12,8,0.0025501505006104708
9000,0.25,2.25,8,0.003485898720100522
9500,0.38,2.62,8,0.0031333062797784805
10000,0.25,2.25,8,0.006501753814518452
10500,0.0,2.22,9,0.002164717298001051
11000,0.38,2.38,8,0.003414544742554426
11500,0.25,2.5,8,0.0044249119237065315
12000,0.62,2.62,8,0.0014959467807784677
12500,0.38,2.38,8,0.0019355572294443846
13000,0.25,2.25,8,0.00170616596005857
13500,0.12,2.12,8,0.0015650693094357848
14000,0.88,3.0,8,0.002768129575997591
14500,0.78,3.0,9,0.0032010250724852085
15000,0.88,3.12,8,0.0014533551875501871
15500,0.88,3.12,8,0.0024129492230713367
16000,0.88,3.12,8,0.005856841802597046
16500,0.88,2.88,8,0.0039042222779244184
17000,0.62,2.75,8,0.0015525160124525428
17500,0.62,2.62,8,0.00684972433373332
18000,0.62,2.75,8,0.010376322083175182
18500,1.12,3.25,8,0.0036582741886377335
19000,0.75,2.75,8,0.007097303867340088
19500,0.25,2.25,8,0.0033493360970169306
20000,0.38,2.38,8,0.012788746505975723
20500,2.62,5.62,8,0.003851106623187661
21000,1.46,4.0,13,0.007062866352498531
21500,0.38,2.38,8,0.005310914013534784
22000,2.0,4.56,9,0.002390587702393532
22500,1.58,4.08,12,0.0013723298907279968
23000,0.75,2.75,8,0.003625185927376151
23500,1.38,3.62,8,0.004454436711966991
