iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,11,0.008720151148736477
1000,-1.0,2.0,9,0.011718487367033958
1500,-0.89,2.11,9,0.010060662403702736
2000,-1.0,2.0,9,0.02063855156302452
2500,-1.0,2.0,9,0.023795539513230324
3000,-0.89,2.11,9,0.015404016710817814
3500,-1.0,2.0,8,0.024870246648788452
4000,-1.0,2.0,8,0.015342842787504196
4500,-0.88,2.12,8,0.018826980143785477
5000,-0.12,2.0,8,0.05307534709572792
5500,-0.22,2.11,9,0.043837886303663254
6000,-0.12,2.12,8,0.027533726766705513
6500,-0.25,2.0,8,0.0076170312240719795
7000,0.0,2.0,8,0.02048526331782341
7500,0.0,2.0,8,0.023656966164708138
8000,0.12,2.12,8,0.025642819702625275
8500,0.0,2.0,8,0.021802827715873718
9000,0.0,2.0,8,0.020988665521144867
9500,0.0,2.0,8,0.06857761740684509
10000,0.0,2.12,8,0.009793740697205067
10500,0.38,2.5,8,0.03264860436320305
11000,0.0,2.0,8,0.008798351511359215
11500,0.12,2.12,8,0.024184776470065117
12000,0.12,2.12,8,0.03813130781054497
12500,0.0,2.0,8,0.01812180131673813
13000,0.12,2.12,8,0.017634157091379166
13500,0.25,2.25,8,0.04141532629728317
14000,0.0,2.0,8,0.015263786539435387
14500,0.38,2.38,8,0.025117477402091026
15000,0.25,2.38,8,0.01770073175430298
15500,0.12,2.12,8,0.012986636720597744
16000,0.0,2.12,8,0.02716321125626564
16500,0.25,2.25,8,0.03626013547182083
17000,0.62,2.62,8,0.011225806549191475
17500,0.62,2.75,8,0.02391444891691208
18000,1.2,3.5,10,0.00615580752491951
18500,0.62,2.62,8,0.012234942056238651
19000,1.22,3.44,9,0.017274795100092888
19500,1.6,4.1,10,0.009080005809664726
20000,2.17,4.75,12,0.021830584853887558
20500,3.25,6.25,8,0.016693856567144394
21000,2.33,5.11,9,0.007688392419368029
21500,6.5,9.5,8,0.0301738940179348
22000,3.09,5.73,11,0.018308069556951523
22500,5.62,8.62,8,0.02075156383216381
23000,6.25,9.25,8,0.01844951882958412
23500,7.0,10.0,8,0.05624814331531525
24000,7.5,10.5,8,0.04282207041978836
24500,7.0,10.0,8,0.023200171068310738
25000,3.75,6.75,8,0.013462942093610764
25500,5.88,8.88,8,0.05068071559071541
26000,6.25,9.25,8,0.011480806395411491
26500,3.75,6.75,8,0.023076657205820084
27000,4.25,7.25,8,0.022217929363250732
27500,4.12,7.12,8,0.009743787348270416
28000,6.88,9.88,8,0.033795066177845
28500,8.0,11.0,8,0.020308151841163635
29000,5.5,8.5,8,0.025850476697087288
29500,7.62,10.62,8,0.024996474385261536
30000,8.5,11.5,8,0.02332494407892227
30500,7.12,10.12,8,0.05369232967495918
31000,6.25,9.25,8,0.03793640062212944
31500,6.38,9.38,8,0.006289130542427301
32000,4.75,7.75,8,0.06889760494232178
32500,8.0,11.0,8,0.025410901755094528
33000,7.25,10.25,8,0.014196492731571198
33500,7.12,10.12,8,0.05715528875589371
34000,7.0,10.0,8,0.006988511420786381
34500,5.38,8.38,8,0.036302853375673294
35000,11.75,14.75,8,0.10025011003017426
35500,7.44,10.44,9,0.017621750012040138
36000,6.89,9.89,9,0.022666888311505318
36500,5.75,8.75,8,0.027520446106791496
37000,6.38,9.38,8,0.07360922545194626
37500,7.25,10.25,8,0.014704179018735886
38000,12.38,15.38,8,0.008722390979528427
38500,8.5,11.5,8,0.012727806344628334
39000,12.62,15.62,8,0.006625112146139145
39500,8.88,11.88,8,0.006710067857056856
40000,9.25,12.25,8,0.01998123899102211
40500,14.12,17.12,8,0.015462104231119156
41000,9.25,12.25,8,0.015557149425148964
41500,7.25,10.25,8,0.01567341387271881
42000,10.0,13.0,8,0.03167502582073212
42500,11.12,14.12,8,0.011076225899159908
43000,10.0,13.0,8,0.009010455571115017
43500,8.89,11.89,9,0.00867834035307169
44000,12.38,15.38,8,0.00646045058965683
44500,14.0,17.0,8,0.006449993699789047
45000,12.38,15.38,8,0.003969412297010422
45500,10.62,13.62,8,0.020643197000026703
46000,12.38,15.38,8,0.023245446383953094
46500,11.38,14.38,8,0.006136865355074406
47000,10.0,13.0,8,0.006390152499079704
47500,11.5,14.5,8,0.011138425208628178
48000,15.12,18.12,8,0.012016143649816513
48500,11.12,14.12,8,0.008265208452939987
49000,11.38,14.38,8,0.01573070138692856
49500,11.0,14.0,8,0.033250659704208374
50000,13.0,16.0,8,0.006443391088396311
50500,11.12,14.12,8,0.015205773524940014
51000,9.5,12.5,8,0.019030705094337463
51500,13.25,16.25,8,0.012992074713110924
52000,9.62,12.62,8,0.00781733263283968
52500,14.75,17.75,8,0.005446150898933411
53000,13.75,16.75,8,0.0102879349142313
53500,14.5,17.5,8,0.010229552164673805
54000,19.25,22.25,8,0.005332613829523325
54500,12.88,15.88,8,0.02654908411204815
55000,17.25,20.25,8,0.009362393990159035
55500,10.62,13.62,8,0.005537239834666252
56000,18.12,21.12,8,0.022901233285665512
56500,8.12,11.12,8,0.020761482417583466
57000,9.0,12.0,8,0.018870387226343155
57500,12.25,15.25,8,0.013772987760603428
58000,10.88,13.88,8,0.006187725812196732
58500,13.67,16.67,9,0.0628751888871193
59000,16.88,19.88,8,0.024969087913632393
59500,16.25,19.25,8,0.028000401332974434
60000,15.12,18.12,8,0.00884207896888256
60500,16.25,19.25,8,0.016166528686881065
61000,13.88,16.88,8,0.007195131853222847
61500,13.12,16.12,8,0.013902462087571621
62000,16.38,19.38,8,0.005219675600528717
62500,12.62,15.62,8,0.010496451519429684
63000,15.38,18.38,8,0.014290524646639824
63500,17.88,20.88,8,0.034609343856573105
64000,15.62,18.62,8,0.013512222096323967
64500,17.75,20.75,8,0.01803431659936905
65000,12.88,15.88,8,0.008196556940674782
65500,15.88,18.88,8,0.02250179648399353
66000,14.38,17.38,8,0.004768866114318371
66500,16.38,19.38,8,0.011710128746926785
67000,9.75,12.75,8,0.021519681438803673
67500,16.12,19.12,8,0.018535766750574112
68000,14.88,17.88,8,0.006453537382185459
68500,11.38,14.38,8,0.008915286511182785
69000,15.12,18.12,8,0.013017617166042328
69500,19.75,22.75,8,0.02212151139974594
70000,14.5,17.5,8,0.01131522934883833
70500,18.0,21.0,8,0.009555308148264885
71000,12.12,15.12,8,0.009105777367949486
71500,14.62,17.62,8,0.01656215637922287
72000,14.5,17.5,8,0.02542646788060665
72500,16.75,19.75,8,0.01405224110931158
73000,12.38,15.38,8,0.02475549653172493
73500,14.88,17.88,8,0.010755693539977074
74000,14.0,17.0,8,0.007576290518045425
74500,17.5,20.5,8,0.010401800274848938
75000,19.0,22.0,8,0.006802818737924099
75500,17.5,20.5,8,0.011356646195054054
76000,16.12,19.12,8,0.005502972286194563
76500,18.5,21.5,8,0.004907671362161636
77000,15.62,18.62,8,0.04667825996875763
77500,10.62,13.62,8,0.030565671622753143
78000,17.0,20.0,8,0.008948090486228466
78500,10.75,13.75,8,0.006959674879908562
79000,13.0,16.0,8,0.011576776392757893
79500,13.0,16.0,8,0.04394317418336868
80000,12.62,15.62,8,0.008951119147241116
80500,10.0,13.0,8,0.017054986208677292
81000,17.12,20.12,8,0.02574772574007511
81500,12.89,15.89,9,0.0055636269971728325
82000,7.62,10.62,8,0.027969960123300552
82500,18.25,21.25,8,0.023579563945531845
83000,18.75,21.75,8,0.020443640649318695
83500,10.12,13.12,8,0.03891262039542198
84000,18.5,21.5,8,0.015395164489746094
84500,20.0,23.0,8,0.025155697017908096
85000,12.62,15.62,8,0.02378653734922409
85500,9.44,12.44,9,0.019455736503005028
86000,14.25,17.25,8,0.00919263157993555
86500,11.5,14.5,8,0.018363524228334427
87000,13.75,16.75,8,0.009237672202289104
87500,14.5,17.5,8,0.016782216727733612
88000,13.5,16.5,8,0.010717322118580341
88500,13.75,16.75,8,0.021166043356060982
89000,14.25,17.25,8,0.018213391304016113
