iteration,reward_mean,length_mean,games,loss
500,-0.22,2.0,9,0.011979999952018261
1000,0.5,2.62,8,0.0076339999213814735
1500,0.38,2.38,8,0.004635999910533428
2000,1.0,3.0,8,0.00145800004247576
2500,0.38,2.38,8,0.0048500001430511475
3000,1.08,3.62,13,0.0015589999966323376
3500,0.5,2.5,8,0.003834000090137124
4000,3.12,6.12,8,0.003998999949544668
4500,3.5,6.5,8,0.0029180001001805067
5000,2.3,4.6,10,0.0040270001627504826
5500,3.5,6.5,8,0.0025820001028478146
6000,5.88,8.88,8,0.0027179999742656946
6500,2.25,5.25,8,0.005245000123977661
7000,3.38,6.38,8,0.005251000169664621
7500,3.12,6.12,8,0.012748000212013721
8000,2.88,5.88,8,0.00711299991235137
8500,6.12,9.12,8,0.008209999650716782
9000,5.89,8.89,9,0.007180999964475632
9500,5.0,8.0,8,0.009219000115990639
10000,3.5,6.5,8,0.018751999363303185
10500,3.0,6.0,8,0.00381199992261827
11000,2.75,5.75,8,0.011575000360608101
11500,4.0,7.0,8,0.005117000080645084
12000,3.38,6.38,8,0.021366000175476074
12500,2.88,5.88,8,0.004672999959439039
13000,3.38,6.38,8,0.021004000678658485
13500,3.62,6.62,8,0.00508299982175231
14000,4.38,7.38,8,0.005491999909281731
14500,3.0,6.0,8,0.026340000331401825
15000,5.25,8.25,8,0.007277000229805708
15500,3.25,6.25,8,0.005805000197142363
16000,3.25,6.25,8,0.0051299999468028545
16500,3.62,6.62,8,0.004141000099480152
17000,4.12,7.12,8,0.01433200016617775
17500,3.0,6.0,8,0.019029999151825905
18000,3.25,6.25,8,0.007710999809205532
18500,4.62,7.62,8,0.010971000418066978
19000,2.5,5.5,8,0.017431000247597694
19500,5.62,8.62,8,0.011682000011205673
20000,3.88,6.88,8,0.020090000703930855
20500,6.12,9.12,8,0.010223000310361385
21000,4.25,7.25,8,0.008669000118970871
21500,4.38,7.38,8,0.0399789996445179
22000,6.75,9.75,8,0.028888000175356865
22500,4.5,7.5,8,0.031293001025915146
23000,7.62,10.62,8,0.014587000012397766
23500,3.62,6.62,8,0.048624999821186066
24000,5.38,8.38,8,0.029380999505519867
24500,5.38,8.38,8,0.011784999631345272
25000,5.25,8.25,8,0.005181000102311373
25500,4.62,7.62,8,0.006436000112444162
26000,6.0,9.0,8,0.010231000371277332
26500,4.12,7.12,8,0.02863200008869171
27000,5.88,8.88,8,0.09283900260925293
27500,7.5,10.5,8,0.006903999950736761
28000,4.88,7.88,8,0.0317780002951622
28500,4.25,7.25,8,0.005475999787449837
29000,5.12,8.12,8,0.00711800018325448
29500,4.38,7.38,8,0.01190400030463934
30000,5.88,8.88,8,0.008700000122189522
30500,8.25,11.25,8,0.030435999855399132
31000,6.11,9.11,9,0.006316999904811382
31500,4.0,7.0,8,0.004616000223904848
32000,6.33,9.33,9,0.009979999624192715
32500,4.12,7.12,8,0.030484000220894814
33000,4.12,7.12,8,0.031853001564741135
33500,8.62,11.62,8,0.004348999820649624
34000,9.5,12.5,8,0.004782999865710735
34500,6.75,9.75,8,0.0055240001529455185
35000,7.62,10.62,8,0.05458499863743782
35500,6.38,9.38,8,0.008721999824047089
36000,5.75,8.75,8,0.0066109998151659966
36500,9.25,12.25,8,0.01135099958628416
37000,8.38,11.38,8,0.009542999789118767
37500,12.25,15.25,8,0.028860999271273613
38000,9.38,12.38,8,0.03609199821949005
38500,8.5,11.5,8,0.006812000181525946
39000,6.38,9.38,8,0.013097000308334827
39500,3.38,6.38,8,0.008988000452518463
40000,8.38,11.38,8,0.03079799935221672
40500,8.0,11.0,8,0.05862100049853325
41000,5.12,8.12,8,0.030264999717473984
41500,9.12,12.12,8,0.03820500150322914
42000,7.67,10.67,9,0.034967999905347824
42500,13.88,16.88,8,0.006022999994456768
43000,6.38,9.38,8,0.006579000037163496
43500,5.38,8.38,8,0.0069989999756217
44000,7.38,10.38,8,0.009220000356435776
44500,3.62,6.62,8,0.036382000893354416
45000,12.62,15.62,8,0.008449000306427479
45500,6.75,9.75,8,0.00737700005993247
46000,6.62,9.62,8,0.009255999699234962
46500,8.5,11.5,8,0.030479000881314278
47000,9.75,12.75,8,0.031546998769044876
47500,7.88,10.88,8,0.008031999692320824
48000,10.0,13.0,8,0.009523999877274036
48500,11.0,14.0,8,0.03646500036120415
49000,14.12,17.12,8,0.008329999633133411
49500,9.5,12.5,8,0.007879000157117844
50000,6.62,9.62,8,0.038040999323129654
50500,10.38,13.38,8,0.007939999923110008
51000,9.25,12.25,8,0.006322000175714493
51500,13.75,16.75,8,0.07472699880599976
52000,6.88,9.88,8,0.03451000154018402
52500,8.38,11.38,8,0.07582399994134903
53000,11.12,14.12,8,0.03336099907755852
53500,13.38,16.38,8,0.058685000985860825
54000,7.25,10.25,8,0.01169500034302473
54500,12.25,15.25,8,0.04166100174188614
55000,6.75,9.75,8,0.028821000829339027
55500,12.25,15.25,8,0.04060899838805199
56000,15.0,18.0,8,0.0416020005941391
56500,12.88,15.88,8,0.006686999928206205
57000,8.62,11.62,8,0.03084000013768673
57500,10.75,13.75,8,0.003969000186771154
58000,14.75,17.75,8,0.011397000402212143
58500,13.0,16.0,8,0.030608000233769417
59000,10.38,13.38,8,0.08741699904203415
59500,13.75,16.75,8,0.026816999539732933
60000,9.12,12.12,8,0.03752300143241882
60500,16.88,19.88,8,0.007290000095963478
61000,18.0,21.0,8,0.01774599961936474
61500,12.38,15.38,8,0.007063999772071838
62000,8.89,11.89,9,0.016063999384641647
62500,14.25,17.25,8,0.00496899988502264
63000,15.62,18.62,8,0.005036999937146902
63500,10.12,13.12,8,0.008077999576926231
64000,16.62,19.62,8,0.009575000032782555
64500,11.25,14.25,8,0.00443999981507659
65000,5.38,8.38,8,0.06922899931669235
65500,13.75,16.75,8,0.010476999916136265
66000,9.38,12.38,8,0.006750999949872494
66500,8.12,11.12,8,0.008197999559342861
67000,8.0,11.0,8,0.007133999839425087
67500,4.5,7.5,8,0.007685000076889992
68000,8.38,11.38,8,0.004279999993741512
68500,9.0,12.0,8,0.00829199980944395
69000,14.62,17.62,8,0.01816900074481964
69500,18.88,21.88,8,0.0071229999884963036
70000,12.88,15.88,8,0.008359000086784363
70500,10.62,13.62,8,0.04664799943566322
71000,9.38,12.38,8,0.014088000170886517
71500,15.5,18.5,8,0.038982000201940536
72000,11.38,14.38,8,0.00599699979647994
72500,8.12,11.12,8,0.010483000427484512
73000,10.62,13.62,8,0.05074400082230568
73500,12.75,15.75,8,0.022901000455021858
74000,12.5,15.5,8,0.04012800008058548
74500,13.25,16.25,8,0.005030000116676092
75000,6.5,9.5,8,0.01974800042808056
75500,13.88,16.88,8,0.00957299955189228
76000,19.38,22.38,8,0.05576600134372711
76500,20.0,23.0,8,0.027393000200390816
77000,14.38,17.38,8,0.017861999571323395
77500,4.75,7.75,8,0.026984000578522682
78000,16.62,19.62,8,0.006016999948769808
78500,16.0,19.0,8,0.006153999827802181
79000,15.12,18.12,8,0.01286999974399805
79500,14.0,17.0,8,0.008454999886453152
80000,16.12,19.12,8,0.006465999875217676
80500,4.25,7.25,8,0.00752299977466464
81000,14.75,17.75,8,0.03538300096988678
81500,15.62,18.62,8,0.010861000046133995
82000,16.12,19.12,8,0.035117000341415405
82500,13.38,16.38,8,0.00811500009149313
83000,11.62,14.62,8,0.007104999851435423
83500,21.62,24.62,8,0.055465999990701675
84000,15.25,18.25,8,0.008383999578654766
84500,13.89,16.89,9,0.014770000241696835
85000,10.25,13.25,8,0.007124000228941441
85500,18.12,21.12,8,0.005954999942332506
86000,9.62,12.62,8,0.016152000054717064
86500,15.75,18.75,8,0.006858999840915203
87000,20.75,23.75,8,0.006138000171631575
87500,16.75,19.75,8,0.005950999911874533
88000,10.0,13.0,8,0.008976000361144543
88500,8.38,11.38,8,0.00812199991196394
89000,9.38,12.38,8,0.008031000383198261
89500,6.62,9.62,8,0.012713000178337097
90000,7.62,10.62,8,0.022461000829935074
90500,7.62,10.62,8,0.018817000091075897
