iteration,reward_mean,length_mean,games,loss
500,-0.44,2.0,9,0.010456128977239132
1000,0.0,2.0,8,0.005877073388546705
1500,0.62,2.5,8,0.0011151150101795793
2000,0.0,2.0,8,0.0005271183326840401
2500,6.0,3.62,8,0.004144617356359959
3000,2.75,3.12,8,0.0006128860986791551
3500,2.3,4.0,10,0.0060668871738016605
4000,10.5,4.75,8,0.0009908583015203476
4500,1.12,2.62,8,0.012754649855196476
5000,2.12,3.12,8,0.0036167288199067116
5500,5.12,5.88,8,0.003033829852938652
6000,5.12,5.75,8,0.007369594648480415
6500,18.5,8.25,8,0.001633072504773736
7000,3.88,5.5,8,0.003515844698995352
7500,12.62,7.5,8,0.00315444846637547
8000,15.5,8.0,8,0.0025718268007040024
8500,15.12,7.5,8,0.011550369672477245
9000,4.0,5.62,8,0.00426095724105835
9500,21.0,8.75,8,0.008889887481927872
10000,11.12,6.88,8,0.003970050718635321
10500,4.38,5.62,8,0.009147999808192253
11000,7.12,6.5,8,0.024775009602308273
11500,6.0,6.12,8,0.0052398378029465675
12000,10.88,7.0,8,0.009818276390433311
12500,9.89,6.67,9,0.0057116602547466755
13000,10.62,6.88,8,0.014453422278165817
13500,8.0,6.75,8,0.009051359258592129
14000,13.75,7.62,8,0.01803266629576683
14500,7.75,6.5,8,0.035318683832883835
15000,10.0,6.75,8,0.009381521493196487
15500,6.75,6.25,8,0.0039786649867892265
16000,32.75,10.38,8,0.00988607294857502
16500,9.56,6.78,9,0.0272406917065382
17000,18.38,8.62,8,0.034528687596321106
17500,28.62,9.88,8,0.025416187942028046
18000,8.62,6.75,8,0.008307607844471931
18500,17.25,8.25,8,0.008333941921591759
19000,11.5,7.25,8,0.06367935985326767
19500,14.38,7.88,8,0.012536922469735146
20000,18.12,7.75,8,0.02419128827750683
20500,8.38,6.5,8,0.009822951629757881
21000,22.88,9.12,8,0.020824981853365898
21500,24.0,9.25,8,0.04033811390399933
22000,8.12,6.38,8,0.0378233902156353
22500,18.75,8.62,8,0.023312464356422424
23000,11.5,7.0,8,0.005689193960279226
23500,48.5,12.0,8,0.02526395209133625
24000,28.25,9.62,8,0.011899901553988457
24500,7.38,6.5,8,0.0045166416093707085
25000,9.25,6.38,8,0.025547746568918228
25500,11.38,7.38,8,0.022405115887522697
26000,16.75,8.0,8,0.011975347995758057
26500,17.88,8.0,8,0.007386703044176102
27000,13.38,7.12,8,0.004449205007404089
27500,16.62,7.88,8,0.017696131020784378
28000,15.25,7.88,8,0.026843473315238953
28500,12.0,7.25,8,0.048677802085876465
29000,15.5,8.12,8,0.024609399959445
29500,37.38,9.88,8,0.00973065197467804
30000,22.88,9.12,8,0.02524416893720627
